type,percent_dead,viab,nb_CTL,time,legend,date
APC,36.70434733763565,63.29565266236435,11,48,APC$^{Min\\+}$,220901
APC,32.873111177123846,67.12688882287615,1,48,APC$^{Min\\+}$,220901
APC,21.51868541156221,78.48131458843778,6,48,APC$^{Min\\+}$,220901
APC,34.812731439571344,65.18726856042866,7,48,APC$^{Min\\+}$,220901
APC,35.129343189844455,64.87065681015554,4,48,APC$^{Min\\+}$,220901
APC,16.156111255342083,83.84388874465792,3,48,APC$^{Min\\+}$,220901
APC,17.570283011218148,82.42971698878185,3,48,APC$^{Min\\+}$,220901
APC,51.08278306017574,48.91721693982426,11,48,APC$^{Min\\+}$,220901
APC,48.54914999869438,51.45085000130562,22,48,APC$^{Min\\+}$,220901
APC,35.6846014469474,64.3153985530526,3,48,APC$^{Min\\+}$,220901
APC,31.492544934834232,68.50745506516577,9,48,APC$^{Min\\+}$,220901
APC,23.803166296474046,76.19683370352595,9,48,APC$^{Min\\+}$,220901
APC,57.952670382575874,42.047329617424126,26,48,APC$^{Min\\+}$,220901
APC,16.261644897933145,83.73835510206686,5,48,APC$^{Min\\+}$,220901
APC,52.38054243183543,47.61945756816457,4,48,APC$^{Min\\+}$,220901
APC,24.42675675364828,75.57324324635172,3,48,APC$^{Min\\+}$,220901
APC,32.530564504300735,67.46943549569926,8,48,APC$^{Min\\+}$,220901
APC,56.481564402095216,43.518435597904784,9,48,APC$^{Min\\+}$,220901
APC,14.49397220326336,85.50602779673665,3,48,APC$^{Min\\+}$,220901
APC,38.37771246828181,61.62228753171819,10,48,APC$^{Min\\+}$,220901
APC,50.82158915287104,49.17841084712896,7,48,APC$^{Min\\+}$,220901
APC,24.99400226332509,75.00599773667491,4,48,APC$^{Min\\+}$,220901
WT,32.22206512921842,67.77793487078158,3,48,CTRL,220901
APC,22.750855169988466,77.24914483001153,1,48,APC$^{Min\\+}$,220901
WT,16.66189211031049,83.33810788968951,1,48,CTRL,220901
WT,24.460616370078625,75.53938362992137,3,48,CTRL,220901
WT,11.20526891991696,88.79473108008304,1,48,CTRL,220901
WT,44.85660400200824,55.14339599799176,9,48,CTRL,220901
WT,27.65177734622618,72.34822265377382,2,48,CTRL,220901
WT,36.14765910552848,63.85234089447152,2,48,CTRL,220901
WT,53.89348150250103,46.10651849749897,10,48,CTRL,220901
WT,38.1181138901519,61.8818861098481,4,48,CTRL,220901
WT,35.44040975643642,64.55959024356358,4,48,CTRL,220901
WT,51.57110285965187,48.42889714034813,6,48,CTRL,220901
APC,40.71265735985551,59.28734264014449,5,48,APC$^{Min\\+}$,220901
WT,22.73049143603344,77.26950856396655,4,48,CTRL,220901
WT,73.17307137977723,26.826928620222773,12,48,CTRL,220901
WT,18.465986627023582,81.53401337297642,4,48,CTRL,220901
WT,60.23555910437847,39.76444089562153,21,48,CTRL,220920
APC,27.08377953443099,72.91622046556901,12,48,APC$^{Min\\+}$,220922
APC,23.05506968481908,76.94493031518093,4,48,APC$^{Min\\+}$,220922
APC,19.46674599832376,80.53325400167624,1,48,APC$^{Min\\+}$,220922
APC,27.350821506953537,72.64917849304646,7,48,APC$^{Min\\+}$,220922
APC,19.72745684126063,80.27254315873937,11,48,APC$^{Min\\+}$,220922
APC,29.14554026246947,70.85445973753053,7,48,APC$^{Min\\+}$,220922
APC,20.36046737117189,79.6395326288281,3,48,APC$^{Min\\+}$,220922
APC,25.05102168795328,74.94897831204672,2,48,APC$^{Min\\+}$,220922
APC,33.59834168469335,66.40165831530665,11,48,APC$^{Min\\+}$,220922
APC,23.94848211758008,76.05151788241992,4,48,APC$^{Min\\+}$,220922
APC,18.70328547315381,81.29671452684619,2,48,APC$^{Min\\+}$,220922
APC,23.543554294086952,76.45644570591304,2,48,APC$^{Min\\+}$,220922
APC,27.093129337371103,72.9068706626289,2,48,APC$^{Min\\+}$,220922
APC,20.1577918316216,79.84220816837839,2,48,APC$^{Min\\+}$,220922
APC,18.14902879757732,81.85097120242268,3,48,APC$^{Min\\+}$,220922
APC,46.25140027983777,53.74859972016223,2,48,APC$^{Min\\+}$,220922
APC,19.258458332918835,80.74154166708117,1,48,APC$^{Min\\+}$,220922
APC,12.45572617424801,87.54427382575199,1,48,APC$^{Min\\+}$,220922
APC,18.043674038852423,81.95632596114757,3,48,APC$^{Min\\+}$,220922
WT,20.30901299231473,79.69098700768527,7,48,CTRL,220922
