type,date,well,particle,P_inv,pos,arrest_percent,max_obs_n
apc,220922.0,27.0,196.0,0.7799655197505944,0.7535211267605634,75.35211267605634,8
apc,220922.0,27.0,197.0,-1.1355722392554433,0.18181818181818182,18.181818181818183,8
apc,220922.0,27.0,198.0,0.1760460023304223,0.6744186046511628,67.44186046511628,8
apc,220922.0,27.0,199.0,0.6434797148532962,1.0,100.0,8
apc,221124.0,0.0,124.0,-1.2910871545209328,0.3333333333333333,33.33333333333333,2
apc,221124.0,0.0,125.0,0.6958992613874896,1.0,100.0,2
apc,221124.0,2.0,126.0,0.19252256190337386,1.0,100.0,2
apc,221124.0,2.0,127.0,0.306235293998616,0.6774193548387096,67.74193548387096,2
apc,221124.0,2.0,128.0,0.3319912674841661,0.6171171171171171,61.711711711711715,2
apc,221124.0,2.0,129.0,-0.5576081697209296,0.3389830508474576,33.89830508474576,2
apc,221124.0,3.0,132.0,0.05299432488621069,0.5684931506849316,56.849315068493155,4
apc,221124.0,3.0,133.0,0.5488510118074741,0.9545454545454546,95.45454545454545,4
apc,221124.0,3.0,135.0,0.5722870981378221,0.7222222222222222,72.22222222222221,4
apc,221124.0,3.0,136.0,1.2093696466851207,1.0,100.0,4
apc,221124.0,4.0,137.0,-1.1491707098817519,0.18666666666666668,18.666666666666668,3
apc,221124.0,4.0,138.0,-0.12143099053301651,0.45161290322580644,45.16129032258064,3
apc,221124.0,4.0,140.0,0.47285009325071964,0.8028169014084507,80.28169014084507,3
apc,221124.0,5.0,141.0,2.0243461835961027,1.0,100.0,2
apc,221124.0,5.0,142.0,0.05467673144403793,0.6666666666666666,66.66666666666666,2
apc,221124.0,6.0,143.0,-0.39692891244219874,0.5,50.0,7
apc,221124.0,6.0,144.0,-1.2366436246318402,0.09433962264150944,9.433962264150944,7
apc,221124.0,6.0,145.0,0.3818923593462706,0.8271604938271605,82.71604938271605,7
apc,221124.0,6.0,147.0,0.720776998234929,0.8461538461538461,84.61538461538461,7
apc,221124.0,6.0,148.0,1.0407757591576277,1.0,100.0,7
apc,221124.0,6.0,149.0,-1.5798793470163575,0.0,0.0,7
apc,221124.0,6.0,150.0,0.676308438115394,0.9558823529411765,95.58823529411765,7
apc,221124.0,7.0,151.0,1.6385238865947842,1.0,100.0,3
apc,221124.0,7.0,152.0,-0.6781795988090968,0.0,0.0,3
apc,221124.0,7.0,153.0,1.413067833072544,1.0,100.0,3
apc,221124.0,7.0,154.0,0.7709223772695438,0.8636363636363636,86.36363636363636,3
apc,221124.0,9.0,155.0,1.61802717779697,1.0,100.0,1
apc,221124.0,10.0,157.0,0.3646340399456733,0.7864077669902912,78.64077669902912,4
apc,221124.0,10.0,158.0,1.4874348284355454,1.0,100.0,4
apc,221124.0,10.0,159.0,1.4704273752807386,1.0,100.0,4
apc,221124.0,10.0,160.0,0.6361579031061522,1.0,100.0,4
apc,221124.0,12.0,161.0,1.34255397030469,1.0,100.0,1
apc,221124.0,12.0,162.0,-0.11386131659206984,0.5882352941176471,58.82352941176471,1
apc,221124.0,14.0,163.0,1.4262930838993038,1.0,100.0,1
apc,221124.0,14.0,164.0,-0.7943582763937097,0.3333333333333333,33.33333333333333,1
apc,221124.0,14.0,165.0,1.1349889820242716,0.9846153846153847,98.46153846153847,1
apc,221124.0,16.0,166.0,0.537425970141443,0.6695278969957081,66.95278969957081,2
apc,221124.0,16.0,167.0,0.1803471427966388,0.6881720430107527,68.81720430107528,2
apc,221124.0,19.0,168.0,1.04663624156803,0.9791666666666666,97.91666666666666,1
apc,221124.0,19.0,169.0,0.06346550871032461,0.53125,53.125,1
apc,221124.0,22.0,170.0,0.7886050064468186,0.9148264984227129,91.48264984227129,1
apc,221124.0,23.0,171.0,1.5523781042548261,1.0,100.0,2
apc,221124.0,23.0,172.0,1.038759668261673,1.0,100.0,2
wt,220719.0,4.0,0.0,0.16691572186682083,0.5869565217391305,58.69565217391305,4
wt,220719.0,4.0,1.0,0.4506148259429309,0.6176470588235294,61.76470588235294,4
wt,220719.0,4.0,2.0,0.5808485061392304,0.8857142857142857,88.57142857142857,4
wt,220719.0,4.0,3.0,0.9240245844690635,1.0,100.0,4
wt,220719.0,4.0,4.0,0.878654446679605,0.8,80.0,4
wt,220719.0,4.0,5.0,1.5697237239655066,1.0,100.0,4
wt,220719.0,5.0,7.0,0.8735115886893461,1.0,100.0,4
wt,220719.0,5.0,8.0,0.7478473678806533,0.8222222222222222,82.22222222222221,4
wt,220719.0,5.0,9.0,0.48780746081535287,0.8032786885245902,80.32786885245902,4
wt,220719.0,5.0,10.0,-0.524383531263704,0.2,20.0,4
wt,220719.0,6.0,11.0,0.7345745113439079,1.0,100.0,1
wt,220719.0,7.0,12.0,1.5480872387661877,1.0,100.0,2
wt,220719.0,7.0,14.0,1.5071866383949968,1.0,100.0,2
wt,220719.0,9.0,15.0,0.7238668130173498,0.9090909090909091,90.9090909090909,3
wt,220719.0,9.0,16.0,0.03751105068730127,0.6493506493506493,64.93506493506493,3
wt,220719.0,9.0,17.0,1.02017027132963,1.0,100.0,3
wt,220719.0,9.0,18.0,-0.5826139476201663,0.0,0.0,3
wt,220719.0,13.0,19.0,1.395294031415597,1.0,100.0,1
wt,220719.0,16.0,20.0,0.17781602463467877,0.5952380952380952,59.523809523809526,5
wt,220719.0,16.0,21.0,1.5466754889714955,1.0,100.0,5
wt,220719.0,16.0,22.0,-0.22798731320175747,0.46,46.0,5
wt,220719.0,16.0,23.0,0.38471843224460484,0.7532467532467533,75.32467532467533,5
wt,220719.0,16.0,24.0,1.342328189662869,1.0,100.0,5
wt,220719.0,17.0,25.0,1.1430994454255834,1.0,100.0,1
wt,220719.0,18.0,26.0,0.2582217891816675,0.685823754789272,68.5823754789272,1
wt,220719.0,20.0,27.0,1.5827486975986096,1.0,100.0,4
wt,220719.0,20.0,28.0,1.3546847745055408,1.0,100.0,4
wt,220719.0,20.0,29.0,-0.850695576809376,0.0,0.0,4
wt,220719.0,20.0,30.0,0.8300899136369252,1.0,100.0,4
wt,220719.0,20.0,31.0,1.8218995797976223,1.0,100.0,4
wt,220719.0,20.0,32.0,-0.8263607472608204,0.0,0.0,4
wt,220719.0,22.0,33.0,0.5256161558506695,1.0,100.0,4
wt,220719.0,22.0,35.0,1.557939630304716,0.9834710743801653,98.34710743801654,4
wt,220719.0,22.0,36.0,1.3635432942995156,1.0,100.0,4
wt,220719.0,22.0,37.0,1.1806652138209852,1.0,100.0,4
wt,220719.0,22.0,38.0,0.9739740795601144,0.9448818897637795,94.48818897637796,4
wt,220719.0,22.0,39.0,0.934707063254942,0.8666666666666667,86.66666666666667,4
wt,220719.0,22.0,40.0,1.0934282026945217,0.8813559322033898,88.13559322033898,4
wt,220719.0,22.0,41.0,1.8543391476866145,1.0,100.0,4
wt,220719.0,22.0,42.0,0.4476823680261456,0.8571428571428571,85.71428571428571,4
wt,220719.0,22.0,43.0,0.6334169326118149,1.0,100.0,4
wt,220901.0,31.0,44.0,0.9182354553282017,0.9603960396039604,96.03960396039604,3
wt,220901.0,31.0,45.0,1.124319660135462,1.0,100.0,3
wt,220901.0,31.0,46.0,1.4401263052705602,1.0,100.0,3
wt,220901.0,35.0,47.0,-0.2922946820560554,0.47398843930635837,47.398843930635834,1
wt,220901.0,46.0,48.0,1.6009843957651138,1.0,100.0,7
wt,220901.0,46.0,49.0,-1.949917815760553,0.0,0.0,7
wt,220901.0,46.0,50.0,0.737296850304651,0.8983050847457628,89.83050847457628,7
