D,Circ.,date,time,well
177.14436008428828,0.901,221011,48,26
265.15274466567666,0.771,221011,48,27
247.38692529721328,0.944,221011,48,28
301.70225858191526,0.781,221011,48,29
274.9489080057906,0.968,221011,48,30
214.51086871633345,0.955,221011,48,31
223.4198415835864,0.934,221011,48,32
163.30570948086574,0.972,221011,48,33
241.16395444696772,0.652,221025,24,0
249.37395311424444,0.449,221025,24,1
193.8776614265612,0.808,221025,24,2
221.7035284151868,0.818,221025,24,3
244.0649854475112,0.641,221025,24,4
176.68830226684918,0.586,221025,24,5
211.81052453194832,0.7,221025,24,6
225.73684051342713,0.777,221025,24,7
218.1362124968105,0.777,221025,24,8
248.7324464750848,0.813,221025,24,9
227.41512500639763,0.726,221025,24,10
248.2867930596708,0.773,221025,24,11
284.44014429567346,0.565,221025,24,12
182.6259590049667,0.635,221025,24,13
205.62188145339485,0.713,221025,24,14
254.43510305397967,0.705,221025,24,15
215.25372802198345,0.45,221025,24,16
225.0978727343675,0.812,221025,24,17
184.9092563567836,0.821,221025,24,18
242.69736665913007,0.719,221025,24,19
195.16567875502295,0.776,221025,24,20
222.07355049285792,0.772,221025,24,21
263.1414859332361,0.71,221025,24,22
262.8154715048904,0.625,221025,24,23
232.18707022090396,0.779,221025,24,24
244.381344319726,0.515,221025,24,25
192.72971758766352,0.651,221025,24,26
204.04514751758373,0.845,221025,24,27
192.82808164997624,0.848,221025,24,28
225.09966509326264,0.794,221025,24,29
157.24474583440158,0.809,221025,24,30
204.64930585585705,0.708,221025,24,31
210.53331149642912,0.755,221025,24,32
193.9567229862589,0.618,221025,24,33
206.47266875762335,0.673,221025,24,34
221.8254220200255,0.668,221025,24,35
222.34045609389412,0.763,221025,24,36
280.96935249495476,0.852,221025,24,37
241.10790375512303,0.781,221025,24,38
169.00650000850334,0.735,221025,24,39
190.87653452365552,0.746,221025,24,40
196.39389969789912,0.549,221025,24,41
177.3890715153989,0.488,221025,24,42
164.09379112705972,0.584,221025,24,43
205.84740324328527,0.788,221025,24,44
221.64073615847929,0.773,221025,24,45
224.5496372865176,0.847,221025,24,46
233.38814893192367,0.727,221025,24,47
168.3043889143449,0.719,221025,24,48
178.84667415667826,0.759,221025,24,49
200.16941740152768,0.821,221025,24,50
206.2840168122892,0.769,221025,24,51
226.83158360274837,0.554,221025,24,52
234.2009506627267,0.707,221025,24,53
