time_after_contact,type,percent_reduc,date,nb_ctl,well
10,APC,61.95071139031992,220621,8.0,7
10,APC,78.82630294713927,220621,11.0,8
10,APC,73.49633043585243,220621,14.0,9
10,APC,86.01848758213609,220621,6.0,10
10,APC,31.605270359178583,220621,9.0,11
10,APC,7.740034981128602,220621,15.0,12
10,APC,9.38653206868157,220621,14.0,13
10,APC,7.729441534310018,220621,11.0,14
10,APC,92.29190650182692,220621,5.0,15
10,APC,75.49821541419303,220621,3.0,16
10,APC,78.00028719716084,220621,12.0,17
10,APC,58.52090787382464,220621,6.0,18
10,APC,90.21396032072188,220621,3.0,19
10,APC,28.675736531833188,220621,7.0,20
10,APC,98.43863356780116,220621,2.0,21
10,APC,43.57933518280542,220621,16.0,22
10,APC,68.8479661505914,220621,6.0,23
10,APC,0.0302023557837511,220621,8.0,24
10,APC,56.91674562495005,220621,8.0,25
10,APC,57.45764804501946,220621,8.0,26
5,WT,91.82116349153952,220621,6.0,0
5,WT,96.79340645513076,220621,2.0,1
5,WT,23.601401311404256,220621,28.0,2
5,WT,97.6232167459224,220621,4.0,3
5,WT,90.93915702497262,220621,9.0,4
5,WT,56.45181799321389,220621,10.0,5
5,WT,47.00993219232207,220621,27.0,6
5,WT,99.84310610198104,220621,1.0,7
5,WT,91.69553433358644,220621,15.0,8
5,WT,100.2002146983148,220621,6.0,9
5,WT,74.9302506650518,220621,3.0,10
5,WT,100.80774255276086,220621,6.0,11
5,WT,90.50530108384277,220621,13.0,12
5,WT,69.81829481706818,220621,13.0,13
5,WT,54.1854757696367,220621,8.0,14
5,WT,20.934209887923924,220621,14.0,15
5,WT,82.20613794631922,220621,7.0,16
5,WT,52.5471251532402,220621,7.0,17
5,WT,102.84857571214393,220621,3.0,18
5,WT,96.32959273735972,220621,8.0,19
5,WT,86.34729272419628,220621,3.0,20
5,WT,62.404878450084325,220621,12.0,21
5,WT,74.11914819576418,220621,13.0,22
5,WT,76.4396713659564,220621,11.0,23
5,WT,47.34216180480952,220621,9.0,24
5,WT,108.60419840866768,220621,2.0,25
5,WT,66.82946962922199,220621,5.0,26
5,WT,98.81145814527292,220621,4.0,27
5,WT,64.21500623104235,220621,8.0,28
10,WT,54.75097703046631,220621,12.0,0
10,WT,90.27081629371752,220621,3.0,1
10,WT,0.0209266636697617,220621,37.0,2
10,WT,66.18905826407715,220621,6.0,3
10,WT,48.0237689897095,220621,8.0,4
10,WT,20.437951319408658,220621,14.0,5
10,WT,20.152082258804825,220621,49.0,6
10,WT,81.25515118415173,220621,2.0,7
10,WT,17.711907150498003,220621,14.0,8
10,WT,64.8738221411897,220621,10.0,9
10,WT,31.68674438220473,220621,5.0,10
10,WT,19.262543929051134,220621,6.0,11
10,WT,77.67605472044207,220621,13.0,12
10,WT,4.695549776752858,220621,16.0,13
10,WT,0.0089012092928625,220621,7.0,14
10,WT,0.0291106690602105,220621,5.0,15
10,WT,58.9899567240957,220621,8.0,16
10,WT,27.068590918470147,220621,4.0,17
10,WT,73.7642717102987,220621,5.0,18
10,WT,21.032656663724627,220621,4.0,19
10,WT,35.012161590524535,220621,2.0,20
10,WT,36.043354859939946,220621,19.0,21
10,WT,17.759132342848304,220621,17.0,22
10,WT,34.808265184145114,220621,12.0,23
10,WT,0.0557805140071068,220621,7.0,24
10,WT,115.55499125331528,220621,3.0,25
10,WT,36.84506202563573,220621,7.0,26
10,WT,76.12485205913623,220621,5.0,27
10,WT,19.364433680547396,220621,9.0,28
